"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"305","TD21121368","Item21121378","SUP15","80000","excl","1","4","2021-12-08","10216732","530000","bids/1639396180Xerox Scan_09122021132653.PDF"
"306","TD21121368","Item211213668","SUP765","17000","excl","2","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"307","TD21121368","Item211213427","SUP765","22000","excl","2","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"308","TD21121368","Item211213108","SUP765","98700","excl","2","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"309","TD21121368","Item211213555","SUP765","59000","excl","2","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"310","TD21121368","Item211213913","SUP765","36000","excl","2","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"311","TD21121368","Item211213799","SUP765","40900","excl","2","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"312","TD21121368","Item211213198","SUP765","78000","excl","2","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"313","TD21121368","Item21121378","SUP765","152000","excl","1","5","2021-12-08","10216732","855200","bids/1639396313Xerox Scan_09122021132718.PDF"
"314","TD21121368","Item211213668","SUP229","90000","excl","2","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
"315","TD21121368","Item211213427","SUP229","25312.5","excl","2","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
"316","TD21121368","Item211213108","SUP229","45000","excl","2","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
"317","TD21121368","Item211213555","SUP229","19687","excl","2","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
"318","TD21121368","Item211213913","SUP229","45000","excl","2","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
"319","TD21121368","Item211213799","SUP229","50625","excl","2","6","2021-12-08","10216732","899999","bids/1639396393Xerox Scan_09122021132901.PDF"
